subject,trial,muscle,r_lag0,r_best,lag_s
subject5,walkingTS2,gasmed_r,0.7817765872756152,0.8183710283130117,0.05
subject5,walkingTS2,vasmed_r,0.17137394953722093,0.17137394953722093,0.0
subject5,walkingTS2,vaslat_r,0.15268094934592896,0.15268094934592896,0.0
subject5,walkingTS2,semiten_r,0.8752385311928726,0.8967405262130385,0.02
subject5,walkingTS2,bflh_r,0.9404090913371276,0.9404090913371276,0.0
subject5,walkingTS2,glmed1_r,0.48974561855044646,0.48974561855044646,0.0
subject5,walkingTS3,soleus_l,0.8588997300569017,0.9525057228354238,0.03
subject5,walkingTS3,gasmed_l,0.8283283318180338,0.8283283318180338,0.0
subject5,walkingTS3,tibant_l,-0.15327592184923122,-0.12410546374550048,0.12
subject5,walkingTS3,recfem_l,0.21063797453609312,0.41869177856451695,0.06
subject5,walkingTS3,vasmed_l,0.7701998578503274,0.7701998578503274,0.0
subject5,walkingTS3,vaslat_l,0.7702440818193231,0.7702440818193231,0.0
subject5,walkingTS3,semiten_l,0.6150273145440494,0.6150273145440494,0.0
subject5,walkingTS3,bflh_l,0.7770204858002537,0.8220856815827636,0.03
subject5,walkingTS3,glmed1_l,0.3706407662133574,0.6643248290507204,0.12
subject5,walkingTS3,soleus_r,0.6885943194827935,0.6885943194827935,0.0
subject5,walkingTS3,gasmed_r,0.8198958733900503,0.8198958733900503,0.0
subject5,walkingTS3,vasmed_r,0.14351682506829405,0.3038272360107248,0.12
subject5,walkingTS3,vaslat_r,0.09186244546405299,0.16769023403146835,0.12
subject5,walkingTS3,semiten_r,0.8429857792773422,0.8429857792773422,0.0
subject5,walkingTS3,bflh_r,0.9395876284900788,0.9395876284900788,0.0
subject5,walkingTS3,glmed1_r,0.01145581912287003,0.37020070769912894,0.12
subject7,walking1,soleus_l,0.8401521449478676,0.8401521449478676,0.0
subject7,walking1,gasmed_l,0.6605045962897577,0.6605045962897577,0.0
subject7,walking1,tibant_l,-0.41203905659840445,-0.051230807447679313,0.12
subject7,walking1,recfem_l,0.19417125981701266,0.32120986406614316,0.05
subject7,walking1,vasmed_l,0.8183465826315217,0.8217512529488203,0.01
subject7,walking1,vaslat_l,0.8545435237741922,0.8642077516360778,0.01
subject7,walking1,semiten_l,0.4250986714949722,0.6650713200667118,0.06
subject7,walking1,bflh_l,0.6612218477574254,0.6612218477574254,0.0
subject7,walking1,glmed1_l,0.7909005916449752,0.8640309668663353,0.04
subject7,walking1,soleus_r,0.8403293085992317,0.8403293085992317,0.0
subject7,walking1,gasmed_r,0.6424596229543409,0.6424596229543409,0.0
subject7,walking1,vasmed_r,0.29249764974930054,0.315175007758299,0.03
subject7,walking1,vaslat_r,0.42641797227556694,0.44010861519058253,0.02
subject7,walking1,semiten_r,0.9358191047514652,0.9358191047514652,0.0
subject7,walking1,bflh_r,0.8641897347268399,0.8641897347268399,0.0
subject7,walking1,glmed1_r,0.8369112818857192,0.8369112818857192,0.0
subject7,walking2,soleus_l,0.8766539920911998,0.8850514882210149,0.02
subject7,walking2,gasmed_l,0.8492010353445766,0.8491997522180401,0.0
subject7,walking2,tibant_l,-0.3067310539688766,-0.2211765397480619,0.12
subject7,walking2,recfem_l,0.10438644829146478,0.3456966882603665,0.06
subject7,walking2,vasmed_l,0.8708291706289321,0.8708291706289321,0.0
subject7,walking2,vaslat_l,0.8574530794549685,0.8574530794549685,0.0
subject7,walking2,semiten_l,0.6711029552008088,0.7867772567209398,0.03
subject7,walking2,bflh_l,0.37080389534211866,0.37080389534211866,0.0
subject7,walking2,glmed1_l,0.8236459516993943,0.9019876728700655,0.05
subject7,walking2,soleus_r,0.8898106204052486,0.8898106204052486,0.0
subject7,walking2,gasmed_r,0.90284414593849,0.90284414593849,0.0
subject7,walking2,vasmed_r,0.2971234958052466,0.6077244543628129,0.12
subject7,walking2,vaslat_r,0.5309841496570428,0.7225638386985312,0.12
